index,name,type
0,coconut,fruit tropical neutral
1,pineapple,fruit tropical cool
2,passion fruit,fruit tropical cool
3,mango,fruit tropical cool
4,guava,fruit tropical cool
5,banana,fruit tropical cool
6,strawberry,fruit berry cool
7,raspberry,fruit berry cool
8,blackberry,fruit berry cool
9,pomegranate,fruit berry cool
10,cranberry,fruit berry cool
11,grape,fruit berry cool
12,kiwi,fruit berry cool
13,huckleberry,fruit berry cool
14,peach,fruit other cool
15,watermelon,fruit other cool
16,green apple,fruit other cool
17,pear,fruit other cool
18,cherry,fruit other cool
19,orange,fruit citrus cool
20,blood orange,fruit citrus cool
21,grapefruit,fruit citrus cool
22,sweetened lime,fruit citrus cool
23,lemon,fruit citrus cool
24,lime,fruit citrus cool
25,vanilla,dessert warm
26,cupcake,dessert warm
27,salted caramel,dessert warm
28,chocolate milano,dessert warm
29,cinnamon,dessert warm
30,choc chip cookie dough,dessert warm
31,brown sugar cinnamon,dessert warm
32,hazelnut,dessert warm
33,white chocolate,dessert warm
34,butterscotch,dessert warm
35,blue raspberry,candy cool
36,sour,fruit candy cool
37,blue curacao,candy cool
38,bubble gum,candy cool
39,cotton candy,candy cool
40,mojito,herbal cool
41,cucumber,herbal cool
42,lavender,herbal warm
43,pumpkin spice,spice warm
44,peppermint,spice warm
45,irish cream,spice warm
46,gingerbread,spice warm
47,butterbrew mix,spice warm
